ingredient	disposition
CHEBI:10033	DRON:00020326
CHEBI:101278	DRON:00020325
CHEBI:107736	DRON:00723854
CHEBI:107736	DRON:00723856
CHEBI:119915	DRON:00000037
CHEBI:119915	DRON:00000039
CHEBI:119915	DRON:00000041
CHEBI:127342	DRON:00723856
CHEBI:135074	DRON:00000037
CHEBI:135276	DRON:00000037
CHEBI:135276	DRON:00000041
CHEBI:135491	DRON:00000037
CHEBI:135654	DRON:00723853
CHEBI:135730	DRON:00020326
CHEBI:135737	DRON:00020325
CHEBI:135738	DRON:00020325
CHEBI:135849	DRON:00020325
CHEBI:135930	DRON:00020325
CHEBI:135935	DRON:00000037
CHEBI:16714	DRON:00000037
CHEBI:16714	DRON:00723856
CHEBI:17026	DRON:00723855
CHEBI:17303	DRON:00000037
CHEBI:17303	DRON:00000039
CHEBI:17303	DRON:00000041
CHEBI:17698	DRON:00698710
CHEBI:17698	DRON:00723855
CHEBI:2379	DRON:00020323
CHEBI:2569	DRON:00000037
CHEBI:2663	DRON:00723854
CHEBI:2666	DRON:00723855
CHEBI:2666	DRON:00723856
CHEBI:2668	DRON:00020325
CHEBI:2679	DRON:00723856
CHEBI:27958	DRON:00723854
CHEBI:28593	DRON:00723854
CHEBI:28748	DRON:00723854
CHEBI:2904	DRON:00020323
CHEBI:3011	DRON:00723853
CHEBI:3082	DRON:00020323
CHEBI:31236	DRON:00723856
CHEBI:3127	DRON:00020323
CHEBI:31859	DRON:00698710
CHEBI:31911	DRON:00020325
CHEBI:3213	DRON:00020327
CHEBI:3216	DRON:00000037
CHEBI:3216	DRON:00000040
CHEBI:3219	DRON:00723854
CHEBI:3242	DRON:00000037
CHEBI:3242	DRON:00000039
CHEBI:3242	DRON:00000041
CHEBI:32599	DRON:00020325
CHEBI:3347	DRON:00724207
CHEBI:3380	DRON:00723853
CHEBI:3419	DRON:00723855
CHEBI:3437	DRON:00020323
CHEBI:3441	DRON:00020323
CHEBI:3441	DRON:00723856
CHEBI:34665	DRON:00723856
CHEBI:34772	DRON:00020325
CHEBI:3510	DRON:00020323
CHEBI:35553	DRON:00723856
CHEBI:3647	DRON:00723854
CHEBI:3647	DRON:00723856
CHEBI:36791	DRON:00723854
CHEBI:36796	DRON:00723854
CHEBI:36796	DRON:00723856
CHEBI:3698	DRON:00723853
CHEBI:3699	DRON:00698710
CHEBI:3699	DRON:00723854
CHEBI:3723	DRON:00723854
CHEBI:3723	DRON:00723855
CHEBI:3738	DRON:00723854
CHEBI:39465	DRON:00020323
CHEBI:39465	DRON:00723856
CHEBI:4027	DRON:00723855
CHEBI:41423	DRON:00723854
CHEBI:41774	DRON:00723856
CHEBI:43755	DRON:00723853
CHEBI:439329	DRON:00723856
CHEBI:4470	DRON:00723856
CHEBI:4534	DRON:00000037
CHEBI:45409	DRON:00723854
CHEBI:4636	DRON:00723854
CHEBI:4639	DRON:00000037
CHEBI:4710	DRON:00723854
CHEBI:47426	DRON:00020327
CHEBI:47499	DRON:00723855
CHEBI:47499	DRON:00723856
CHEBI:47780	DRON:00723854
CHEBI:47780	DRON:00723855
CHEBI:47780	DRON:00723856
CHEBI:47781	DRON:00723856
CHEBI:4784	DRON:00723853
CHEBI:4788	DRON:00723856
CHEBI:4814	DRON:00724207
CHEBI:48339	DRON:00698710
CHEBI:48416	DRON:00724207
CHEBI:4856	DRON:00020323
CHEBI:4887	DRON:00020328
CHEBI:4902	DRON:00000037
CHEBI:49575	DRON:00723855
CHEBI:49662	DRON:00698710
CHEBI:49662	DRON:00723855
CHEBI:4995	DRON:00698710
CHEBI:50275	DRON:00020324
CHEBI:50438	DRON:00020326
CHEBI:51038	DRON:00723856
CHEBI:5118	DRON:00698710
CHEBI:5118	DRON:00723854
CHEBI:5118	DRON:00723856
CHEBI:51211	DRON:00723856
CHEBI:51364	DRON:00723856
CHEBI:5138	DRON:00723856
CHEBI:5163	DRON:00723853
CHEBI:52010	DRON:00723854
CHEBI:52010	DRON:00723856
CHEBI:53766	DRON:00020326
CHEBI:5612	DRON:00723854
CHEBI:5613	DRON:00723854
CHEBI:5613	DRON:00723856
CHEBI:5706	DRON:00723855
CHEBI:5779	DRON:00000037
CHEBI:5779	DRON:00000041
CHEBI:5790	DRON:00000037
CHEBI:5790	DRON:00000039
CHEBI:5790	DRON:00000041
CHEBI:5818	DRON:00723854
CHEBI:585948	DRON:00020325
CHEBI:5959	DRON:00724207
CHEBI:59877	DRON:00723853
CHEBI:6073	DRON:00020325
CHEBI:61203	DRON:00000037
CHEBI:6343	DRON:00020323
CHEBI:63619	DRON:00723856
CHEBI:63622	DRON:00020323
CHEBI:63631	DRON:00698710
CHEBI:6375	DRON:00020324
CHEBI:6375	DRON:00698710
CHEBI:6375	DRON:00723855
CHEBI:64022	DRON:00020323
CHEBI:64022	DRON:00723856
CHEBI:6444	DRON:00000037
CHEBI:6456	DRON:00723856
CHEBI:6532	DRON:00000037
CHEBI:6541	DRON:00724207
CHEBI:6758	DRON:00723855
CHEBI:6807	DRON:00000037
CHEBI:6807	DRON:00723854
CHEBI:6838	DRON:00723854
CHEBI:68850	DRON:00724207
CHEBI:6897	DRON:00020323
CHEBI:6904	DRON:00020323
CHEBI:6916	DRON:00723856
CHEBI:6920	DRON:00723854
CHEBI:6933	DRON:00723854
CHEBI:74274	DRON:00000037
CHEBI:7444	DRON:00020323
CHEBI:7454	DRON:00000036
CHEBI:7454	DRON:00000041
CHEBI:7459	DRON:00000036
CHEBI:7459	DRON:00000038
CHEBI:7459	DRON:00000040
CHEBI:7465	DRON:00000036
CHEBI:7465	DRON:00000038
CHEBI:7465	DRON:00000040
CHEBI:7496	DRON:00723855
CHEBI:7550	DRON:00020325
CHEBI:7565	DRON:00020325
CHEBI:7573	DRON:00723855
CHEBI:7575	DRON:00020325
CHEBI:7577	DRON:00020325
CHEBI:7582	DRON:00020325
CHEBI:75984	DRON:00723856
CHEBI:75988	DRON:00723855
CHEBI:7640	DRON:00723856
CHEBI:7772	DRON:00020324
CHEBI:7772	DRON:00698710
CHEBI:7772	DRON:00723855
CHEBI:7773	DRON:00723856
CHEBI:7824	DRON:00698710
CHEBI:7852	DRON:00000037
CHEBI:7852	DRON:00000039
CHEBI:7852	DRON:00000041
CHEBI:7852	DRON:00723856
CHEBI:78539	DRON:00723853
CHEBI:7865	DRON:00000037
CHEBI:7865	DRON:00000039
CHEBI:7915	DRON:00020324
CHEBI:7915	DRON:00698710
CHEBI:7915	DRON:00723855
CHEBI:7936	DRON:00723854
CHEBI:7936	DRON:00723856
CHEBI:7954	DRON:00020323
CHEBI:7982	DRON:00000036
CHEBI:7982	DRON:00000041
CHEBI:8024	DRON:00723853
CHEBI:8028	DRON:00723854
CHEBI:8028	DRON:00723856
CHEBI:8050	DRON:00723856
CHEBI:8064	DRON:00723856
CHEBI:8069	DRON:00723855
CHEBI:8107	DRON:00723855
CHEBI:8214	DRON:00020323
CHEBI:83531	DRON:00723854
CHEBI:83531	DRON:00723855
CHEBI:8412	DRON:00723855
CHEBI:8426	DRON:00698710
CHEBI:8455	DRON:00723855
CHEBI:8461	DRON:00723854
CHEBI:8461	DRON:00723856
CHEBI:8497	DRON:00000037
CHEBI:8497	DRON:00000039
CHEBI:8499	DRON:00020323
CHEBI:8499	DRON:00723855
CHEBI:8499	DRON:00723856
CHEBI:85980	DRON:00000037
CHEBI:85980	DRON:00000038
CHEBI:8713	DRON:00723853
CHEBI:8768	DRON:00020324
CHEBI:8768	DRON:00698710
CHEBI:8768	DRON:00723855
CHEBI:8774	DRON:00723853
CHEBI:8776	DRON:00723854
CHEBI:8802	DRON:00000037
CHEBI:8802	DRON:00000039
CHEBI:8802	DRON:00000041
CHEBI:8871	DRON:00723856
CHEBI:9123	DRON:00723854
CHEBI:9316	DRON:00000037
CHEBI:9434	DRON:00724207
CHEBI:94434	DRON:00020325
CHEBI:9448	DRON:00723854
CHEBI:9566	DRON:00723856
CHEBI:9588	DRON:00698710
CHEBI:9588	DRON:00723854
CHEBI:9637	DRON:00020327
CHEBI:9648	DRON:00000037
CHEBI:9648	DRON:00000039
CHEBI:9648	DRON:00000041
CHEBI:9648	DRON:00723856
CHEBI:9649	DRON:00723853
CHEBI:9741	DRON:00723854
CHEBI:9927	DRON:00724207
CHEBI:9943	DRON:00723856
CHEBI:9948	DRON:00020325
DRON:00015071	DRON:00020323
